	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
(+)-neomenthol dehydrogenase isoform X2FUNC_PR1	1	0	0	0	0	0	0	0	0	0	0	0
(+)-neomenthol dehydrogenase-like isoform X1FUNC_PR2	1	0	0	0	0	0	0	0	0	0	0	0
(2,3-dihydroxybenzoyl)adenylate synthaseFUNC_PR3	0	0	0	0	0	0	0	0	0	1	0	0
(2E,6E)-farnesyl diphosphate synthaseFUNC_PR4	0	0	0	0	0	0	0	0	0	2	1	3
(2Fe-2S) ferredoxinFUNC_PR5	0	1	0	1	0	7	0	0	0	1	0	1
(2Fe-2S)-binding proteinFUNC_PR6	18	52	1	0	8	94	1	2	1	30	3	26
(2Fe-2S)-binding protein, partialFUNC_PR7	2	0	0	0	0	2	0	0	0	1	0	0
(2R)-phospho-3-sulfolactate synthaseFUNC_PR8	0	0	0	0	0	3	0	0	0	0	0	0
(3R)-hydroxymyristoyl-ACP dehydrataseFUNC_PR9	0	0	0	0	1	0	0	0	0	0	0	0
(4Fe-4S)-binding proteinFUNC_PR10	0	1	0	0	1	9	0	0	0	0	0	2
(deoxy)nucleoside triphosphate pyrophosphohydrolaseFUNC_PR11	0	0	0	0	0	2	0	0	0	1	1	0
(DL)-glycerol-3-phosphatase 2-likeFUNC_PR12	0	0	0	0	0	0	0	0	0	1	0	0
(dl)-glycerol-3-phosphatase, putativeFUNC_PR13	0	0	0	0	3	0	0	0	0	0	0	0
(Fe-S)-binding proteinFUNC_PR14	3	3	0	0	1	23	1	0	0	6	0	10
(Fe-S)-cluster assembly proteinFUNC_PR15	0	0	0	0	0	3	0	0	0	0	0	0
(Na+)-NQR maturation NqrMFUNC_PR16	0	0	0	0	0	0	0	0	1	0	2	0
(p)ppGpp synthetaseFUNC_PR17	4	7	0	1	1	2	0	2	0	8	3	5
(R,R)-butanediol dehydrogenaseFUNC_PR18	23	55	0	194	592	45	8	33	95	479	503	5
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC_PR19	0	3	0	0	0	1	0	0	0	2	0	0
(R)-hydrataseFUNC_PR20	0	0	0	0	0	7	0	0	0	0	1	0
(S)-2-hydroxy-acid oxidase GLO1-likeFUNC_PR21	0	0	0	1	0	0	0	0	0	0	0	0
