	control.B5	control.B6	experimental.B11	experimental.B12
(2E,6E)-farnesyl diphosphate synthaseFUNC-1	0	0	1	3
(2Fe-2S) ferredoxinFUNC-2	0	7	0	1
(2Fe-2S)-binding proteinFUNC-3	8	94	3	26
(2Fe-2S)-binding protein, partialFUNC-4	0	2	0	0
(2R)-phospho-3-sulfolactate synthaseFUNC-5	0	3	0	0
(3R)-hydroxymyristoyl-ACP dehydrataseFUNC-6	1	0	0	0
(4Fe-4S)-binding proteinFUNC-7	1	9	0	2
(deoxy)nucleoside triphosphate pyrophosphohydrolaseFUNC-8	0	2	1	0
(dl)-glycerol-3-phosphatase, putativeFUNC-9	3	0	0	0
(Fe-S)-binding proteinFUNC-10	1	23	0	10
(Fe-S)-cluster assembly proteinFUNC-11	0	3	0	0
(Na+)-NQR maturation NqrMFUNC-12	0	0	2	0
(p)ppGpp synthetaseFUNC-13	1	2	3	5
(R,R)-butanediol dehydrogenaseFUNC-14	592	45	503	5
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC-15	0	1	0	0
(R)-hydrataseFUNC-16	0	7	1	0
(S)-8-oxocitronellyl enol synthase CYC2-likeFUNC-17	4	2	1	0
(S)-ureidoglycine aminohydrolaseFUNC-18	1	13	0	0
1-(5-phosphoribosyl)-5FUNC-19	1	22	2	24
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6FUNC-20	4	0	3	0
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomeraseFUNC-21	0	1	0	0
1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylaseFUNC-22	0	8	0	1
1-acyl-sn-glycerol-3-phosphate acyltransferaseFUNC-23	25	152	4	34
1-acyl-sn-glycerol-3-phosphate acyltransferase, partialFUNC-24	6	37	0	0
1-acylglycerol-3-phosphate O-acyltransferaseFUNC-25	1	0	0	0
1-acylglycerol-3-phosphate O-acyltransferase SLC1FUNC-26	10	2	19	0
1-aminocyclopropane-1-carboxylate deaminaseFUNC-27	1	18	0	0
1-aminocyclopropane-1-carboxylate oxidase 3FUNC-28	0	0	4	0
1-deoxy-D-xylulose-5-phosphate reductoisomeraseFUNC-29	24	72	1	23
1-deoxy-D-xylulose-5-phosphate reductoisomerase, partialFUNC-30	1	2	0	0
1-deoxy-D-xylulose-5-phosphate synthaseFUNC-31	39	241	3	22
1-deoxy-D-xylulose-5-phosphate synthase, partialFUNC-32	0	6	0	11
1-phosphatidylinositol 3-phosphate 5-kinase fab1-likeFUNC-33	0	1	0	0
1-phosphatidylinositol 4-kinaseFUNC-34	13	0	15	0
1-phosphatidylinositol 4-kinase LSB6FUNC-35	20	9	31	0
1-phosphatidylinositol 4-kinase STT4FUNC-36	16	1	12	0
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II-likeFUNC-37	2	0	0	0
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC-38	50	13	43	0
1-phosphatidylinositol-4-phosphate 5-kinaseFUNC-39	41	22	22	0
1-phosphofructokinaseFUNC-40	3	44	0	0
1-phosphofructokinase, partialFUNC-41	21	16	0	0
1-pyrroline-5-carboxylate dehydrogenaseFUNC-42	108	165	19	18
1-pyrroline-5-carboxylate dehydrogenase, partialFUNC-43	0	9	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2FUNC-44	1	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4FUNC-45	0	4	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4-likeFUNC-46	1	0	0	0
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-likeFUNC-47	1	0	0	0
1,2-phenylacetyl-CoA epoxidase subunit AFUNC-48	1	4	0	0
1,3-1,4-beta-glycanaseFUNC-49	1	3	0	0
1,3-beta glucan synthaseFUNC-50	3	0	3	0
1,3-beta-D-glucan synthaseFUNC-51	280	15	101	0
1,3-beta-galactosyl-N-acetylhexosamine phosphorylaseFUNC-52	7	6	0	0
1,3-beta-glucan synthaseFUNC-53	5	19	0	0
1,3-beta-glucan synthase componentFUNC-54	1	0	0	0
1,3-beta-glucan synthase component bgs4FUNC-55	11	3	3	0
1,3-beta-glucan synthase component FKS1FUNC-56	1	1	4	0
1,3-beta-glucan synthase component FKS1-likeFUNC-57	2	1	1	0
1,3-beta-glucan synthase gsc2FUNC-58	0	0	2	0
1,3-beta-glucan synthase GSC2FUNC-59	1034	230	627	9
1,3-beta-glucan synthase subunit Bgs4FUNC-60	0	1	0	0
1,3-beta-glucanaseFUNC-61	0	0	0	11
1,3-beta-glucanosyltransferaseFUNC-62	200	55	120	2
1,3-beta-glucanosyltransferase GAS1FUNC-63	29	16	13	2
1,3-beta-glucanosyltransferase gel1FUNC-64	1	0	0	0
1,3-beta-glucanosyltransferase gel3FUNC-65	0	0	1	0
1,3-beta-glucanosyltransferase gel4FUNC-66	0	0	1	0
1,3,6,8-tetra-HN reductaseFUNC-67	1	2	0	1
1,4-alpha-glucan branching enzymeFUNC-68	130	199	41	20
1,4-alpha-glucan branching enzyme, partialFUNC-69	0	4	0	0
1,4-alpha-glucan branching proteinFUNC-70	3	31	0	0
1,4-alpha-glucan-branching enzymeFUNC-71	0	0	0	2
1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic isoform X2FUNC-72	0	0	1	0
1,4-alpha-glucan-branching proteinFUNC-73	4	2	0	0
1,4-beta-D-glucan glucohydrolaseFUNC-74	3	5	0	0
1,4-beta-glucanaseFUNC-75	0	1	0	1
1,4-beta-N-acetylmuramidaseFUNC-76	0	13	0	0
1,4-beta-xylanaseFUNC-77	0	17	0	0
1,4-dihydroxy-2-naphthoate octaprenyltransferaseFUNC-78	2	7	0	18
1,4-dihydroxy-2-naphthoate polyprenyltransferaseFUNC-79	21	94	1	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase, partialFUNC-80	0	1	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthaseFUNC-81	2	13	2	0
1,4-dihydroxy-2-naphthoyl-CoA synthase, partialFUNC-82	0	0	0	5
1,4-dihydroxy-6-naphthoate synthaseFUNC-83	1	4	0	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenaseFUNC-84	0	0	0	2
12-oxophytodienoate reductaseFUNC-85	0	1	0	0
14 kDa subunit of cytochrome bd ubiquinol oxidaseFUNC-86	0	1	0	1
14 kDa zinc-binding proteinFUNC-87	0	0	1	0
14-3-3 family protein BMH1FUNC-88	350	157	347	31
14-3-3 family protein BMH2FUNC-89	13	1	19	0
14-3-3 proteinFUNC-90	3	0	6	0
14-3-3 protein epsilonFUNC-91	1	0	0	0
14-3-3 protein homologFUNC-92	1	1	0	0
14-3-3 protein zeta-likeFUNC-93	0	3	0	0
14-3-3-like proteinFUNC-94	0	1	0	0
14-3-3-like protein CFUNC-95	0	0	1	0
14-3-3-like protein GF14 kappaFUNC-96	0	0	1	0
14-3-3-like protein, partialFUNC-97	0	0	2	0
14-alpha sterol demethylase Cyp51BFUNC-98	1	1	0	0
15-cis-phytoene desaturaseFUNC-99	0	0	0	1
16S ribosomal RNA methyltransferase AFUNC-100	0	0	0	7
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseFUNC-101	19	57	2	12
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmAFUNC-102	0	1	0	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase, partialFUNC-103	1	0	0	0
