	control.B3	control.B4	experimental.B10	experimental.B9
(2,3-dihydroxybenzoyl)adenylate synthaseFUNC-1	0	0	1	0
(2E,6E)-farnesyl diphosphate synthaseFUNC-2	0	0	2	0
(2Fe-2S) ferredoxinFUNC-3	0	1	1	0
(2Fe-2S)-binding proteinFUNC-4	1	0	30	1
(2Fe-2S)-binding protein, partialFUNC-5	0	0	1	0
(deoxy)nucleoside triphosphate pyrophosphohydrolaseFUNC-6	0	0	1	0
(DL)-glycerol-3-phosphatase 2-likeFUNC-7	0	0	1	0
(Fe-S)-binding proteinFUNC-8	0	0	6	0
(Na+)-NQR maturation NqrMFUNC-9	0	0	0	1
(p)ppGpp synthetaseFUNC-10	0	1	8	0
(R,R)-butanediol dehydrogenaseFUNC-11	0	194	479	95
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC-12	0	0	2	0
(S)-2-hydroxy-acid oxidase GLO1-likeFUNC-13	0	1	0	0
(S)-8-oxocitronellyl enol synthase CYC2-likeFUNC-14	0	3	1	0
(S)-ureidoglycine aminohydrolaseFUNC-15	0	0	0	1
(Trans)glycosidaseFUNC-16	0	1	0	0
1-(5-phosphoribosyl)-5FUNC-17	0	0	2	0
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6FUNC-18	0	6	26	5
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomeraseFUNC-19	0	0	5	0
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase, partialFUNC-20	0	0	1	0
1-acyl-sn-glycerol-3-phosphate acyltransferaseFUNC-21	0	9	30	0
1-acyl-sn-glycerol-3-phosphate acyltransferase 2 isoform X2FUNC-22	0	1	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase, partialFUNC-23	0	0	11	0
1-acylglycerol-3-phosphate O-acyltransferase SLC1FUNC-24	0	4	34	2
1-alkyl-2-acetylglycerophosphocholine esteraseFUNC-25	0	0	1	0
1-aminocyclopropane-1-carboxylateFUNC-26	0	0	1	0
1-aminocyclopropane-1-carboxylate deaminaseFUNC-27	0	1	5	0
1-deoxy-D-xylulose-5-phosphate reductoisomeraseFUNC-28	4	3	31	2
1-deoxy-D-xylulose-5-phosphate reductoisomerase, partialFUNC-29	2	0	1	0
1-deoxy-D-xylulose-5-phosphate synthaseFUNC-30	2	3	45	1
1-deoxy-D-xylulose-5-phosphate synthase, partialFUNC-31	0	0	7	0
1-phosphatidylinositol 3-kinaseFUNC-32	0	1	0	0
1-phosphatidylinositol 4-kinaseFUNC-33	0	1	28	3
1-phosphatidylinositol 4-kinase LSB6FUNC-34	0	17	33	8
1-phosphatidylinositol 4-kinase STT4FUNC-35	0	25	26	5
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase 1-likeFUNC-36	0	1	0	0
1-phosphatidylinositol phosphodiesteraseFUNC-37	0	0	0	1
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC-38	0	13	62	17
1-phosphatidylinositol-4-phosphate 5-kinaseFUNC-39	0	16	50	13
1-phosphofructokinaseFUNC-40	0	1	13	0
1-phosphofructokinase, partialFUNC-41	0	0	7	0
1-pyrroline-5-carboxylate dehydrogenaseFUNC-42	4	57	154	21
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-likeFUNC-43	0	0	0	1
1,3-1,4-beta-glycanaseFUNC-44	0	0	1	0
1,3-beta glucan synthaseFUNC-45	0	2	1	0
1,3-beta-D-glucan synthaseFUNC-46	0	184	269	77
1,3-beta-galactosyl-N-acetylhexosamine phosphorylaseFUNC-47	0	0	5	0
1,3-beta-glucan synthaseFUNC-48	0	2	5	1
1,3-beta-glucan synthase component bgs4FUNC-49	0	1	0	3
1,3-beta-glucan synthase component domain-containing proteinFUNC-50	0	0	1	0
1,3-beta-glucan synthase component FKS1FUNC-51	0	1	3	0
1,3-beta-glucan synthase component FKS1-likeFUNC-52	0	0	0	1
1,3-beta-glucan synthase component GLS1FUNC-53	0	1	1	0
1,3-beta-glucan synthase gsc2FUNC-54	0	0	1	0
1,3-beta-glucan synthase GSC2FUNC-55	0	227	362	106
1,3-beta-glucanosyltransferaseFUNC-56	0	154	274	52
1,3-beta-glucanosyltransferase gas1FUNC-57	0	0	0	1
1,3-beta-glucanosyltransferase GAS1FUNC-58	0	35	53	27
1,3-beta-glucanosyltransferase gel1FUNC-59	0	0	1	0
1,3-beta-glucanosyltransferase, putativeFUNC-60	0	1	0	0
1,3,6,8-tetra-HN reductaseFUNC-61	0	1	4	0
1,4-alpha-glucan branching enzymeFUNC-62	0	49	122	37
1,4-alpha-glucan-branching proteinFUNC-63	0	0	4	0
1,4-dihydroxy-2-naphthoate octaprenyltransferaseFUNC-64	0	0	1	0
1,4-dihydroxy-2-naphthoate polyprenyltransferaseFUNC-65	0	2	15	0
1,4-dihydroxy-2-naphthoyl-CoA synthaseFUNC-66	2	0	4	0
1,4-dihydroxy-2-naphthoyl-CoA synthase, partialFUNC-67	0	0	1	0
1,4-dihydroxy-6-naphthoate synthaseFUNC-68	0	0	1	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenaseFUNC-69	0	0	2	0
11-beta-hydroxysteroid dehydrogenase-like 5FUNC-70	2	0	0	0
12-oxophytodienoate reductaseFUNC-71	0	1	2	0
13 kDa ribonucleoprotein-associated proteinFUNC-72	0	3	1	0
14 kDa subunit of cytochrome bd ubiquinol oxidaseFUNC-73	0	1	0	0
14-3-3 family protein BMH1FUNC-74	0	259	649	106
14-3-3 family protein BMH2FUNC-75	0	23	43	13
14-3-3 family protein epsilonFUNC-76	0	0	1	0
14-3-3 proteinFUNC-77	0	0	4	0
14-3-3 protein epsilonFUNC-78	0	1	0	0
14-3-3 protein homologFUNC-79	0	1	1	1
14-alpha sterol demethylaseFUNC-80	0	0	2	0
15-hydroxyprostaglandin dehydrogenase, putativeFUNC-81	0	0	1	0
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferaseFUNC-82	0	0	22	0
16S rRNA (cytidine(1402)-2'-O)-methyltransferaseFUNC-83	0	3	28	1
16S rRNA (cytosine(1402)-N(4))-methyltransferaseFUNC-84	2	0	56	1
16S rRNA (cytosine(1402)-N(4))-methyltransferase, partialFUNC-85	0	0	4	0
16S rRNA (cytosine(967)-C(5))-methyltransferaseFUNC-86	0	0	13	0
16S rRNA (cytosine(967)-C(5))-methyltransferase, partialFUNC-87	0	0	2	0
16S rRNA (guanine(1207)-N(2))-methyltransferaseFUNC-88	0	0	1	0
16S rRNA (guanine(527)-N(7))-methyltransferase RsmGFUNC-89	0	2	6	0
