	control.B1	control.B2	experimental.B7	experimental.B8
(+)-neomenthol dehydrogenase isoform X2FUNC-1	1	0	0	0
(+)-neomenthol dehydrogenase-like isoform X1FUNC-2	1	0	0	0
(2Fe-2S) ferredoxinFUNC-3	0	1	0	0
(2Fe-2S)-binding proteinFUNC-4	18	52	1	2
(2Fe-2S)-binding protein, partialFUNC-5	2	0	0	0
(4Fe-4S)-binding proteinFUNC-6	0	1	0	0
(Fe-S)-binding proteinFUNC-7	3	3	1	0
(p)ppGpp synthetaseFUNC-8	4	7	0	2
(R,R)-butanediol dehydrogenaseFUNC-9	23	55	8	33
(R)-2-hydroxyglutarate---pyruvate transhydrogenaseFUNC-10	0	3	0	0
(S)-8-oxocitronellyl enol synthase CYC2-likeFUNC-11	42	32	0	0
(S)-beta-macrocarpene synthase-like, partialFUNC-12	0	2	0	0
(S)-coclaurine N-methyltransferase isoform X2FUNC-13	0	2	0	0
(S)-ureidoglycine aminohydrolaseFUNC-14	0	9	0	0
1-(5-phosphoribosyl)-5FUNC-15	4	16	0	0
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6FUNC-16	0	1	0	6
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomeraseFUNC-17	7	1	0	5
1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylaseFUNC-18	11	2	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferaseFUNC-19	41	21	1	0
1-acyl-sn-glycerol-3-phosphate acyltransferase 2 isoform X2FUNC-20	2	0	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase, partialFUNC-21	17	9	0	0
1-acylglycerol-3-phosphate OFUNC-22	1	0	0	0
1-acylglycerol-3-phosphate O-acyltransferase SLC1FUNC-23	6	0	4	5
1-alkyl-2-acetylglycerophosphocholine esteraseFUNC-24	0	1	0	0
1-aminocyclopropane-1-carboxylate deaminaseFUNC-25	1	5	0	2
1-aminocyclopropane-1-carboxylate oxidase 3FUNC-26	8	2	0	0
1-aminocyclopropane-1-carboxylate oxidase 3-like, partialFUNC-27	0	2	0	0
1-aminocyclopropane-1-carboxylate oxidase homolog 1-likeFUNC-28	1	1	0	0
1-deoxy-D-xylulose-5-phosphate reductoisomeraseFUNC-29	32	43	3	1
1-deoxy-D-xylulose-5-phosphate synthaseFUNC-30	43	80	0	4
1-deoxy-D-xylulose-5-phosphate synthase, partialFUNC-31	1	0	0	0
1-phosphatidylinositol 4-kinaseFUNC-32	3	0	4	7
1-phosphatidylinositol 4-kinase LSB6FUNC-33	5	4	4	11
1-phosphatidylinositol 4-kinase STT4FUNC-34	10	0	4	13
1-phosphatidylinositol-3-phosphate 5-kinaseFUNC-35	11	8	7	15
1-phosphatidylinositol-3-phosphate 5-kinase FAB1BFUNC-36	4	0	0	0
