Row.names	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
NO HIERARCHY	42571.59449	36368.3507	48774.83829	0.423446532	1.024730188	0.413227342	0.679440058	0.991460229
Amino_Acids_and_Derivatives	5817.84768	6414.499768	5221.195591	-0.296919148	0.919582824	-0.322884617	0.746782627	0.991460229
Carbohydrates	22672.34682	21371.99103	23972.7026	0.16565112	1.109988506	0.149236788	0.881366792	0.991460229
Cell_Wall_and_Capsule	1077.359945	1275.202968	879.5169224	-0.535183223	0.994992701	-0.537876532	0.590662291	0.991460229
Clustering_based_subsystems	2167.671458	2403.461927	1931.880988	-0.315192581	0.920773451	-0.342312847	0.732115469	0.991460229
Cofactors_Vitamins	6492.080211	4873.706718	8110.453703	0.734659636	0.977961968	0.751214934	0.452523314	0.991460229
DNA_Metabolism	2531.971348	2808.391314	2255.551382	-0.31606834	0.956401014	-0.330476793	0.741039725	0.991460229
Fatty_Acids_Lipids_Isoprenoids	2194.97194	2122.12708	2267.816801	0.095570468	0.957011335	0.099863465	0.920452722	0.991460229
Iron_acquisition_and_metabolism	139.1576587	142.5530643	135.7622532	-0.063604659	1.120666365	-0.056756106	0.95473948	0.991460229
Membrane_Transport	1051.091586	1133.596954	968.5862188	-0.226014322	1.071107326	-0.211009967	0.832879494	0.991460229
Metabolism_of_Aromatic_Compounds	327.5849489	265.3916335	389.7782644	0.55638974	1.125709541	0.494256928	0.62112474	0.991460229
Miscellaneous	823.7841606	741.7791514	905.7891698	0.287379332	1.088325491	0.264056419	0.791736445	0.991460229
Motility_and_Chemotaxis	378.1291526	297.6726184	458.5856869	0.624776463	1.031084665	0.60594099	0.544553939	0.991460229
Nucleosides_and_Nucleotides	2070.583026	2372.569868	1768.596184	-0.423621199	0.940185614	-0.45057188	0.652298137	0.991460229
Transposable_elements	48.21538986	62.91686452	33.51391519	-0.902061259	1.130180882	-0.798156537	0.424779656	0.991460229
Plasmids	293.8666573	381.0837845	206.6495301	-0.879017451	1.186633861	-0.740765522	0.458835623	0.991460229
Photosynthesis	111.1992853	102.137076	120.2614946	0.231359917	1.19030672	0.19437	0.845886178	0.991460229
Protein_Metabolism	17478.90972	14923.63188	20034.18756	0.424837519	1.148565185	0.369885423	0.711467863	0.991460229
Regulation_and_Cell_signaling	2994.640786	2641.371992	3347.90958	0.341835385	1.393083203	0.245380451	0.806161864	0.991460229
Respiration	4048.373319	3897.539956	4199.206682	0.107361822	1.034189161	0.103812558	0.917318101	0.991460229
RNA_Metabolism	5665.824866	4702.173804	6629.475927	0.495455933	1.081850945	0.457970606	0.646973559	0.991460229
Secondary_Metabolism	61.05490004	45.0742504	77.03554969	0.778224072	1.171755048	0.664152524	0.506592696	0.991460229
Stress_Response	4203.344744	3596.047124	4810.642365	0.419700398	1.032229642	0.406595956	0.684304768	0.991460229
Sulfur_Metabolism	174.6886315	174.7869454	174.5903176	0.002256604	1.067691139	0.002113536	0.998313643	0.998313643
Virulence	199.5871279	121.7150211	277.4592346	1.189996991	1.168002736	1.018830653	0.308283371	0.991460229
Disease_and_Defense	2430.109437	2311.588936	2548.629938	0.140863032	0.917073188	0.153600643	0.87792463	0.991460229
