Row.names	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
NO HIERARCHY	17480.49653	18622.10229	16338.89077	-0.189302657	0.769674092	-0.245951707	0.805719616	0.93066373
Amino_Acids_and_Derivatives	1972.846456	2120.420877	1825.272035	-0.215216194	0.678671153	-0.317114102	0.751157025	0.93066373
Carbohydrates	9073.01281	9731.659089	8414.366532	-0.211046262	0.834206234	-0.252990512	0.800275545	0.93066373
Cell_Wall_and_Capsule	282.2051668	296.3468205	268.0635131	-0.114465286	0.940212497	-0.121744059	0.903101718	0.939225787
Clustering_based_subsystems	869.4792143	946.3124728	792.6459557	-0.262729725	0.73007603	-0.359866252	0.718947155	0.93066373
Cofactors_Vitamins	2702.457908	2921.041075	2483.874741	-0.237691242	0.804332728	-0.295513578	0.767601582	0.93066373
DNA_Metabolism	558.8267972	609.7307351	507.9228594	-0.247546257	0.820755615	-0.301607753	0.762951097	0.93066373
Fatty_Acids_Lipids_Isoprenoids	754.1397885	792.5612339	715.7183431	-0.157432892	0.758215078	-0.207636193	0.835513043	0.93066373
Iron_acquisition_and_metabolism	30.83915682	43.65264198	18.02567166	-1.170673945	1.509695046	-0.775437363	0.438081265	0.93066373
Membrane_Transport	292.2636991	384.2613175	200.2660808	-0.913957327	0.914925764	-0.998941513	0.317823025	0.93066373
Metabolism_of_Aromatic_Compounds	82.16569593	115.9904685	48.34092337	-1.201706263	1.129831455	-1.063615514	0.287502912	0.93066373
Miscellaneous	336.8552531	258.7674356	414.9430707	0.649529253	0.843155179	0.770355528	0.441089026	0.93066373
Motility_and_Chemotaxis	152.9799779	145.4955591	160.4643968	0.154430183	0.869770574	0.177552779	0.859074212	0.93066373
Nucleosides_and_Nucleotides	669.4801236	744.6401074	594.3201398	-0.318978178	0.724645875	-0.440184908	0.65980319	0.93066373
Transposable_elements	11.80395023	8.84402314	14.76387732	0.720423969	2.083754263	0.345733651	0.729542892	0.93066373
Plasmids	53.57799939	81.21315409	25.94284468	-1.56203985	1.453511171	-1.07466656	0.28252404	0.93066373
Photosynthesis	29.81588888	38.68502472	20.94675304	-0.992295302	1.692340006	-0.586345119	0.557643616	0.93066373
Protein_Metabolism	7322.109813	5964.102139	8680.117487	0.539529072	0.808970855	0.666932645	0.504815158	0.93066373
Regulation_and_Cell_signaling	798.4897827	629.1167581	967.8628073	0.60479895	0.992483301	0.609379472	0.542272941	0.93066373
Respiration	1107.764688	1001.928247	1213.601129	0.271857921	0.705493951	0.385344085	0.699982504	0.93066373
RNA_Metabolism	1905.71755	1446.833116	2364.601983	0.701629955	0.770613382	0.910482443	0.362568137	0.93066373
Secondary_Metabolism	62.1123654	75.04798049	49.17675032	-0.587621631	1.127402189	-0.521217394	0.602215339	0.93066373
Stress_Response	1797.237561	1795.59512	1798.880003	-0.002906629	0.761391675	-0.003817522	0.996954066	0.996954066
Sulfur_Metabolism	43.38537078	65.01683583	21.75390573	-1.490290366	1.359988945	-1.095810647	0.273161648	0.93066373
Virulence	22.90198088	32.97054506	12.8334167	-1.242409937	1.687304549	-0.736328209	0.461530983	0.93066373
Disease_and_Defense	884.1091702	1047.671395	720.5469457	-0.544215004	0.709989272	-0.766511587	0.44337196	0.93066373
