Row.names	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
NO HIERARCHY	22387.60227	19281.169	25494.03554	0.403103562	0.271462629	1.484932066	0.137561821	0.198700408
Amino_Acids_and_Derivatives	3889.618283	3915.889614	3863.346953	-0.019622055	0.267340574	-0.07339722	0.94149003	0.979149631
Carbohydrates	12833.17938	12398.05622	13268.30255	0.098287191	0.295722201	0.332363247	0.739614987	0.874090439
Cell_Wall_and_Capsule	639.7801199	790.2882112	489.2720286	-0.702144806	0.355697709	-1.973993055	0.048382533	0.083863057
Clustering_based_subsystems	1489.357153	1489.741636	1488.972669	0.002048475	0.366358243	0.005591454	0.995538688	0.995538688
Cofactors_Vitamins	2554.744075	2815.320214	2294.167935	-0.295016007	0.28347821	-1.040700828	0.298014419	0.387418745
DNA_Metabolism	1119.011956	1553.725319	684.2985925	-1.17978523	0.309438283	-3.812667326	0.000137475	0.000510622
Fatty_Acids_Lipids_Isoprenoids	1427.889218	1200.806958	1654.971478	0.460929783	0.287751243	1.601834204	0.109192277	0.166999954
Clustering_based_subsystems	63.59599943	87.0635549	40.12844396	-1.134900076	0.563000947	-2.015804914	0.04382038	0.081380705
Membrane_Transport	500.3425164	761.5377679	239.1472649	-1.680618408	0.358885775	-4.682878298	2.83E-06	1.84E-05
Metabolism_of_Aromatic_Compounds	187.1637501	229.918949	144.4085513	-0.68954685	0.417689703	-1.650859106	0.098767348	0.16049694
Miscellaneous	338.0362543	197.2278032	478.8447053	1.287108079	0.343850849	3.743216233	0.00018168	0.000590459
Motility_and_Chemotaxis	360.0336097	218.5904343	501.476785	1.192432652	0.365945405	3.258498773	0.001120034	0.003235653
Nucleosides_and_Nucleotides	1284.044218	1407.025065	1161.06337	-0.276770709	0.284037707	-0.974415374	0.329850339	0.408386134
Transposable_elements	61.83749829	26.67091967	97.00407691	1.830525035	0.591149024	3.096554273	0.00195784	0.005090384
Plasmids	116.1654813	202.6551116	29.67585092	-2.840692746	0.523055467	-5.430958904	5.61E-08	7.29E-07
Photosynthesis	543.277502	1001.463037	85.09196705	-3.566804533	0.346855529	-10.28325697	8.38E-25	2.18E-23
Protein_Metabolism	11272.09429	6326.271115	16217.91746	1.358193121	0.302491765	4.490016844	7.12E-06	3.70E-05
Regulation_and_Cell_signaling	766.1909841	442.6058213	1089.776147	1.299730828	0.427623977	3.039424584	0.002370305	0.005135662
Respiration	1835.414246	1635.290467	2035.538026	0.314756658	0.287117531	1.096264159	0.272963189	0.373528575
RNA_Metabolism	3208.762289	1801.284715	4616.239863	1.358421049	0.27878669	4.872618022	1.10E-06	9.54E-06
Secondary_Metabolism	70.18052744	68.82800833	71.53304655	0.082529555	0.54278486	0.152048374	0.879148783	0.952411181
Stress_Response	2042.705998	1471.151119	2614.260876	0.82945995	0.271106719	3.059532984	0.002216824	0.005135662
Sulfur_Metabolism	91.8635297	126.7460737	56.98098572	-1.167878416	0.532442889	-2.19343415	0.028276114	0.056552228
Virulence	58.99822499	103.5380361	14.45841392	-2.809460642	0.669172803	-4.198408284	2.69E-05	0.000116479
Disease_and_Defense	1414.978481	1373.56134	1456.395622	0.081505903	0.299071366	0.272529944	0.78521457	0.887633862
